time 	 clk 	 step 	 eps 	 q
560	 1 	 00111000 	 11011110111001110110000100000010 	 0110100011100110111110011000000000000000000000000000000000000000
565	 0 	 00111000 	 11011110111001110110000100000010 	 0110100011100110111110011000000000000000000000000000000000000000
570	 1 	 00111001 	 01110011101111000101110001001101 	 0100101010100101011001100000000000000000000000000000000000000000
575	 0 	 00111001 	 01110011101111000101110001001101 	 0100101010100101011001100000000000000000000000000000000000000000
580	 1 	 00111010 	 01110011101111000101110001001101 	 0110000110110010011110100000000000000000000000000000000000000000
585	 0 	 00111010 	 01110011101111000101110001001101 	 0110000110110010011110100000000000000000000000000000000000000000
590	 1 	 00111011 	 11000110011001100110011000100111 	 1110000111101011101001100000000000000000000000000000000000000000
595	 0 	 00111011 	 11000110011001100110011000100111 	 1110000111101011101001100000000000000000000000000000000000000000
600	 1 	 00111100 	 11000110011001100110011000100111 	 0011011011100001100101100000000000000000000000000000000000000000
605	 0 	 00111100 	 11000110011001100110011000100111 	 0011011011100001100101100000000000000000000000000000000000000000
610	 1 	 00111101 	 11011111111000000000000100010000 	 0110111111100101000001100000000000000000000000000000000000000000
615	 0 	 00111101 	 11011111111000000000000100010000 	 0110111111100101000001100000000000000000000000000000000000000000
620	 1 	 00111110 	 11011111111000000000000100010000 	 0000001100100000011011000000000000000000000000000000000000000000
625	 0 	 00111110 	 11011111111000000000000100010000 	 0000001100100000011011000000000000000000000000000000000000000000
630	 1 	 00111111 	 11110111111000000000010000000000 	 1101100010110011100110000000000000000000000000000000000000000000
635	 0 	 00111111 	 11110111111000000000010000000000 	 1101100010110011100110000000000000000000000000000000000000000000
640	 1 	 01000000 	 11110111111000000000010000000000 	 0111111111000111001100000000000000000000000000000000000000000000
645	 0 	 01000000 	 11110111111000000000010000000000 	 0111111111000111001100000000000000000000000000000000000000000000
650	 1 	 01000001 	 00111110000000000001000100000001 	 0001110001001110011000000000000000000000000000000000000000000000
655	 0 	 01000001 	 00111110000000000001000100000001 	 0001110001001110011000000000000000000000000000000000000000000000
660	 1 	 01000010 	 00111110000000000001000100000001 	 1000100101001011001000000000000000000000000000000000000000000000
